               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.074367,            0.013585,            0.020934,             0.21313,             0.56053,              0.2453,            0.089075,            0.052085,           0.0070361,           0.0090012,            0.009307,            0.009307,            0.009307
                  37,            0.062358,             0.01379,            0.017647,             0.55561,               0.775,             0.64671,             0.22695,            0.048572,           0.0069943,           0.0087985,           0.0092872,           0.0092872,           0.0092872
                  38,             0.06248,            0.014131,            0.016966,             0.36571,             0.84764,             0.43469,             0.13195,            0.057653,           0.0065566,           0.0084345,           0.0092674,           0.0092674,           0.0092674
                  39,            0.077089,            0.013927,            0.017647,             0.49203,                0.75,             0.61005,             0.27948,            0.045275,           0.0062703,           0.0080714,           0.0092476,           0.0092476,           0.0092476
                  40,            0.062765,             0.01568,            0.019115,             0.49203,                0.75,             0.61005,             0.27948,            0.045275,           0.0062703,           0.0080714,           0.0092278,           0.0092278,           0.0092278
                  41,            0.056255,            0.013865,            0.017863,              0.4356,             0.89881,             0.54821,             0.25549,            0.040205,           0.0064073,            0.007953,            0.009208,            0.009208,            0.009208
                  42,            0.057875,            0.015023,            0.018549,              0.5991,             0.87981,             0.73579,             0.35921,            0.040967,           0.0065951,           0.0078849,           0.0091882,           0.0091882,           0.0091882
                  43,            0.062783,            0.015101,            0.020493,              0.5973,             0.91582,             0.80526,             0.43127,            0.033859,           0.0068884,           0.0077171,           0.0091684,           0.0091684,           0.0091684
                  44,            0.052014,            0.013936,            0.017098,              0.5973,             0.91582,             0.80526,             0.43127,            0.033859,           0.0068884,           0.0077171,           0.0091486,           0.0091486,           0.0091486
                  45,            0.047695,            0.016479,             0.01753,             0.67048,                0.95,              0.8247,             0.54883,             0.03036,           0.0072113,           0.0081289,           0.0091288,           0.0091288,           0.0091288
                  46,            0.054759,             0.01392,            0.016455,             0.41783,             0.89868,             0.69898,              0.3476,            0.043302,           0.0073897,           0.0075088,            0.009109,            0.009109,            0.009109
                  47,             0.07303,            0.011648,            0.015996,             0.34234,              0.7371,              0.3943,             0.10444,            0.047981,           0.0069226,           0.0077731,           0.0090892,           0.0090892,           0.0090892
                  48,            0.064427,            0.013924,            0.016639,             0.34234,              0.7371,              0.3943,             0.10444,            0.047981,           0.0069226,           0.0077731,           0.0090694,           0.0090694,           0.0090694
                  49,            0.052001,             0.01281,            0.012803,             0.64664,             0.92432,             0.88003,             0.26745,            0.033023,           0.0065117,           0.0074788,           0.0090496,           0.0090496,           0.0090496
                  50,            0.051551,            0.014011,            0.013191,             0.43333,               0.725,             0.55647,             0.23608,            0.042567,           0.0068202,           0.0075558,           0.0090298,           0.0090298,           0.0090298
                  51,            0.058784,            0.012266,            0.014751,             0.40563,             0.45883,             0.46075,              0.2261,            0.047953,           0.0062246,           0.0075761,             0.00901,             0.00901,             0.00901
                  52,            0.062787,            0.013905,            0.021516,             0.40563,             0.45883,             0.46075,              0.2261,            0.047953,           0.0062246,           0.0075761,           0.0089902,           0.0089902,           0.0089902
                  53,            0.055426,            0.015004,            0.013782,              0.6324,             0.80733,             0.75128,             0.30084,            0.039948,           0.0061077,           0.0074869,           0.0089704,           0.0089704,           0.0089704
                  54,            0.050898,            0.013543,            0.015937,             0.42099,             0.84605,             0.61258,             0.30251,            0.042484,           0.0059456,            0.007114,           0.0089506,           0.0089506,           0.0089506
                  55,             0.05292,            0.012839,            0.014159,             0.33419,             0.76711,             0.49558,             0.18372,            0.041912,           0.0058952,             0.00687,           0.0089308,           0.0089308,           0.0089308
                  56,            0.054949,            0.012569,            0.015315,             0.33419,             0.76711,             0.49558,             0.18372,            0.041912,           0.0058952,             0.00687,            0.008911,            0.008911,            0.008911
                  57,            0.044847,            0.014314,            0.013796,             0.56864,             0.81974,             0.81869,             0.47844,            0.031426,           0.0058725,           0.0068352,           0.0088912,           0.0088912,           0.0088912
                  58,            0.045115,            0.013488,            0.016617,             0.61556,              0.9483,             0.78084,             0.46009,            0.032976,           0.0061972,           0.0068846,           0.0088714,           0.0088714,           0.0088714
                  59,            0.057171,            0.011683,            0.018856,             0.67765,               0.925,             0.86148,             0.44027,            0.027821,           0.0057297,           0.0070776,           0.0088516,           0.0088516,           0.0088516
                  60,            0.042278,             0.01209,             0.01685,             0.67765,               0.925,             0.86148,             0.44027,            0.027821,           0.0057297,           0.0070776,           0.0088318,           0.0088318,           0.0088318
                  61,            0.039129,            0.011505,            0.017247,              0.7538,                0.95,             0.89491,             0.58005,            0.024978,           0.0060774,            0.007628,            0.008812,            0.008812,            0.008812
                  62,            0.041188,            0.014061,            0.011835,             0.63931,                0.95,             0.88676,             0.51959,            0.031293,           0.0060538,           0.0072073,           0.0087922,           0.0087922,           0.0087922
                  63,            0.048161,            0.011721,            0.014094,             0.39949,               0.925,             0.54175,             0.29007,            0.037852,           0.0064538,           0.0069738,           0.0087724,           0.0087724,           0.0087724
                  64,            0.057788,            0.011505,            0.013214,             0.39949,               0.925,             0.54175,             0.29007,            0.037852,           0.0064538,           0.0069738,           0.0087526,           0.0087526,           0.0087526
                  65,            0.050609,             0.01121,            0.014455,             0.61598,             0.88524,             0.72972,             0.40381,            0.031836,           0.0057807,           0.0070857,           0.0087328,           0.0087328,           0.0087328
                  66,            0.046843,            0.011623,            0.015775,             0.48923,             0.73969,             0.68636,             0.25567,            0.035205,           0.0053623,           0.0072024,            0.008713,            0.008713,            0.008713
                  67,            0.057323,             0.01113,            0.017396,             0.66465,             0.87368,             0.89832,              0.4078,            0.031134,           0.0051159,           0.0068676,           0.0086932,           0.0086932,           0.0086932
                  68,            0.048015,            0.010423,            0.013588,             0.66465,             0.87368,             0.89832,              0.4078,            0.031134,           0.0051159,           0.0068676,           0.0086734,           0.0086734,           0.0086734
                  69,             0.04258,              0.0134,            0.012759,             0.57978,             0.89737,             0.86093,             0.48023,            0.027123,            0.005091,           0.0066106,           0.0086536,           0.0086536,           0.0086536
                  70,            0.042643,            0.010222,             0.01847,              0.6035,                0.95,             0.66602,             0.46425,            0.025104,           0.0051706,           0.0067144,           0.0086338,           0.0086338,           0.0086338
                  71,            0.046498,            0.011572,            0.011907,             0.59174,             0.89737,             0.78995,             0.43631,            0.027564,            0.005129,           0.0066406,            0.008614,            0.008614,            0.008614
                  72,            0.042415,            0.012663,            0.012695,             0.59174,             0.89737,             0.78995,             0.43631,            0.027564,            0.005129,           0.0066406,           0.0085942,           0.0085942,           0.0085942
                  73,            0.035741,            0.011584,            0.015198,             0.57093,             0.87105,              0.7808,             0.48266,            0.025973,           0.0050262,           0.0066406,           0.0085744,           0.0085744,           0.0085744
                  74,            0.038577,            0.011424,            0.012855,              0.6139,             0.86698,             0.82923,             0.58061,            0.025399,           0.0050739,           0.0068279,           0.0085546,           0.0085546,           0.0085546
